ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,19,C01,1,>65,1,2922,60683,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,34.223134839151264,2.396
2000,19,48,C01,1,>65,1,2955,114771,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,33.840947546531304,2.369
2002,19,39,C01,1,>65,1,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.36337952374546,0.235
2003,19,39,C01,1,>65,1,30874,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.2389713027142584,0.227
2003,19,39,C01,2,>65,1,42005,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3806689679800024,0.167
2004,19,39,C01,1,>65,1,31919,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.1329302296437858,0.219
2005,19,39,C01,1,>65,1,32928,523442,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.0369290573372205,0.213
2005,19,39,C01,2,>65,1,44532,539771,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.245576214856732,0.157
2006,19,12,C01,1,>65,1,495,11680,Nuevo Le�n,Ciénega de Flores,25.9774584564317,-100.185435517819,202.020202020202,14.141
2006,19,39,C01,1,>65,1,33910,522810,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.948982601002654,0.206
2010,19,39,C01,2,>65,2,50876,540585,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.9311266609010143,0.275
2011,19,39,C01,1,>65,1,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.58384579608289,0.181
2012,19,39,C01,1,>65,2,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.02702023375644,0.352
2014,19,14,C01,1,>65,1,2287,18337,Nuevo Le�n,Doctor Arroyo,23.8601083825303,-100.306266485606,43.72540445999125,3.061
2015,19,39,C01,1,>65,1,43419,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.303139178700569,0.161
2016,19,19,C01,1,>65,1,6055,63234,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,16.515276630883566,1.156
2016,19,39,C01,1,>65,1,44884,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.227965421976651,0.156
2017,19,33,C01,1,>65,1,4145,42787,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,24.125452352231605,1.689
2018,19,49,C01,1,>65,1,2301,23100,Nuevo Le�n,Santiago,25.3848971588258,-100.237322869556,43.4593654932638,3.042
2019,19,39,C01,1,>65,2,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.958984916267469,0.277
2000,19,39,C01,1,45_64,1,79363,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.260033012864937,0.239
2001,19,39,C01,2,45_64,1,91098,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0977189400425915,0.209
2002,19,39,C01,1,45_64,1,83071,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.203789529438673,0.229
2003,19,39,C01,1,45_64,1,84898,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.1778840490942073,0.224
2006,19,39,C01,2,45_64,1,101066,539666,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9894524370213524,0.188
2013,19,46,C01,1,45_64,1,56585,238348,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.7672528055138288,0.336
2015,19,39,C01,2,45_64,1,124520,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8030838419530999,0.153
2019,19,39,C01,1,25_44,1,161518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6191260416795651,0.161
2020,19,39,C01,2,25_44,1,158828,573146,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6296119072203894,0.164
