ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2001,19,39,C46,2,>65,1,38848,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.574135090609555,0.18
2005,19,39,C46,1,>65,1,32928,523442,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.0369290573372205,0.213
2006,19,46,C46,1,>65,1,11798,251128,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.476012883539582,0.593
2008,19,6,C46,1,>65,1,4844,229843,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,20.644095788604456,1.445
2009,19,21,C46,1,>65,1,4270,174246,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,23.4192037470726,1.639
2013,19,39,C46,1,>65,1,40950,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.442002442002442,0.171
2014,19,38,C46,1,>65,1,2793,31520,Nuevo Le�n,Montemorelos,25.1263054213928,-99.8083805429705,35.80379520229145,2.506
2014,19,39,C46,2,>65,1,57088,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7516816143497758,0.123
2015,19,49,C46,1,>65,1,2056,22406,Nuevo Le�n,Santiago,25.3848971588258,-100.237322869556,48.63813229571984,3.405
2017,19,33,C46,1,>65,1,4145,42787,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,24.125452352231605,1.689
2017,19,39,C46,1,>65,1,46624,540331,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.144818119423473,0.15
2018,19,39,C46,1,>65,1,48498,543459,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0619406985855084,0.144
2019,19,39,C46,1,>65,1,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9794924581337343,0.139
2009,19,39,C46,1,45_64,1,97144,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0293996541217163,0.196
2009,19,39,C46,2,45_64,1,108037,540198,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9256088192008292,0.176
2007,19,46,C46,1,25_44,1,75987,248877,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.3160145814415625,0.342
2020,19,39,C46,2,15_24,1,89106,573146,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.1222588826790565,0.191
