ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,9,C19,2,>65,1,2074,33915,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,48.21600771456124,3.375
2000,19,39,C19,1,>65,1,27087,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.691807878318013,0.258
2001,19,26,C19,2,>65,1,14229,317245,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,7.027900766041184,0.492
2001,19,39,C19,1,>65,1,28376,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.5241048773611503,0.247
2001,19,39,C19,2,>65,2,38848,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.14827018121911,0.36
2001,19,46,C19,1,>65,1,8962,257826,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,11.15822361080116,0.781
2002,19,39,C19,1,>65,2,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.726759047490919,0.471
2003,19,26,C19,1,>65,1,13727,337464,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,7.284912945290303,0.51
2003,19,39,C19,1,>65,3,30874,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,9.716913908142772,0.68
2003,19,39,C19,2,>65,1,42005,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3806689679800024,0.167
2003,19,48,C19,1,>65,1,3674,123016,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,27.218290691344585,1.905
2004,19,26,C19,2,>65,1,16888,325504,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,5.921364282330649,0.414
2004,19,39,C19,1,>65,1,31919,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.1329302296437858,0.219
2005,19,39,C19,1,>65,1,32928,523442,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.0369290573372205,0.213
2005,19,39,C19,2,>65,1,44532,539771,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.245576214856732,0.157
2005,19,46,C19,2,>65,1,14474,254577,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.90894016857814,0.484
2005,19,46,C19,1,>65,2,11246,253187,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,17.784101013693757,1.245
2006,19,39,C19,2,>65,1,45764,539666,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.185123678000175,0.153
2007,19,17,C19,2,>65,1,1883,20509,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,53.10674455655868,3.717
2007,19,39,C19,1,>65,4,34877,522061,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,11.468876336840898,0.803
2007,19,39,C19,2,>65,2,47005,539598,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.25486650356345,0.298
2007,19,46,C19,1,>65,1,12351,248877,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.096510404015868,0.567
2008,19,39,C19,1,>65,2,35833,521846,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.581447269276923,0.391
2008,19,46,C19,1,>65,1,12905,246736,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.748934521503292,0.542
2009,19,26,C19,2,>65,1,21073,332552,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.745408816969582,0.332
2009,19,39,C19,1,>65,1,36793,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.7179082977740334,0.19
2010,19,19,C19,1,>65,1,4769,61325,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,20.968756552736423,1.468
2010,19,26,C19,1,>65,1,18809,345145,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,5.31660375352225,0.372
2010,19,39,C19,1,>65,2,37726,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.3013836611355565,0.371
2011,19,26,C19,2,>65,1,22816,334826,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.38288920056101,0.307
2011,19,39,C19,1,>65,1,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.58384579608289,0.181
2011,19,46,C19,2,>65,1,18586,244900,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.380393844829442,0.377
2012,19,6,C19,1,>65,1,6052,271108,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,16.523463317911432,1.157
2012,19,39,C19,1,>65,5,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,12.567550584391103,0.88
2012,19,39,C19,2,>65,1,53795,544639,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.8589088205223536,0.13
2012,19,44,C19,1,>65,1,1613,17998,Nuevo Le�n,Sabinas Hidalgo,26.575102311386,-100.149288250141,61.99628022318661,4.34
2013,19,39,C19,2,>65,1,55389,547362,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.8054126270559137,0.126
2013,19,46,C19,1,>65,1,15759,238348,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.345580303318739,0.444
2014,19,39,C19,1,>65,1,42171,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3712978112921204,0.166
2014,19,39,C19,2,>65,1,57088,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7516816143497758,0.123
2014,19,46,C19,2,>65,1,20879,242137,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.789501412902917,0.335
2015,19,26,C19,2,>65,1,26647,341933,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,3.752767666153789,0.263
2015,19,39,C19,1,>65,1,43419,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.303139178700569,0.161
2015,19,39,C19,2,>65,1,58814,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7002754446220287,0.119
2015,19,46,C19,1,>65,1,17013,236198,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.877858108505261,0.411
2015,19,46,C19,2,>65,1,21664,241398,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.615952732644018,0.323
2015,19,47,C19,2,>65,1,638,7906,Nuevo Le�n,Hidalgo,25.9994022598416,-100.453190116239,156.7398119122257,10.972
2016,19,26,C19,1,>65,1,23682,354379,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.222616333079976,0.296
2016,19,33,C19,1,>65,1,3982,42318,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,25.113008538422907,1.758
2016,19,39,C19,1,>65,1,44884,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.227965421976651,0.156
