ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2004,19,39,C82,2,>65,1,43295,539861,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3097355352812103,0.162
2008,19,26,C82,1,>65,1,17371,343603,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,5.7567209717345,0.403
2010,19,39,C82,2,>65,1,50876,540585,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9655633304505071,0.138
2010,19,39,C82,1,>65,1,37726,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.6506918305677782,0.186
2010,19,48,C82,2,>65,1,6186,138560,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,16.16553507921112,1.132
2011,19,39,C82,1,>65,1,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.58384579608289,0.181
2011,19,39,C82,2,>65,1,52278,542076,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9128505298595968,0.134
2011,19,48,C82,1,>65,1,5629,142335,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,17.765144785930005,1.244
2013,19,13,C82,1,>65,1,645,5930,Nuevo Le�n,China,25.4801587737197,-98.9724091747485,155.03875968992247,10.853
2014,19,39,C82,2,>65,2,57088,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.5033632286995515,0.245
2015,19,26,C82,2,>65,1,26647,341933,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,3.752767666153789,0.263
2015,19,39,C82,2,>65,1,58814,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7002754446220287,0.119
2016,19,39,C82,2,>65,1,60792,556547,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.6449532833267535,0.115
2018,19,18,C82,1,>65,1,2885,140614,Nuevo Le�n,García,25.8090105604871,-100.659776922245,34.66204506065858,2.426
2019,19,39,C82,2,>65,1,68240,567841,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.4654161781946071,0.103
2020,19,33,C82,1,>65,1,4705,44282,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,21.253985122210416,1.488
2009,19,39,C82,1,45_64,2,97144,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0587993082434326,0.391
2009,19,39,C82,2,45_64,1,108037,540198,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9256088192008292,0.176
2010,19,39,C82,1,45_64,1,99306,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.006988500191328,0.191
2017,19,39,C82,1,45_64,1,118014,540331,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8473570932262274,0.161
2019,19,39,C82,1,45_64,1,124133,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8055875552834459,0.153
2020,19,18,C82,1,45_64,1,14879,151182,Nuevo Le�n,García,25.8090105604871,-100.659776922245,6.720881779689496,1.277
2020,19,39,C82,2,45_64,1,142198,573146,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.7032447713751249,0.134
2003,19,39,C82,2,25_44,1,162191,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6165570222762052,0.16
2019,19,39,C82,2,25_44,1,158547,567841,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.630727796804733,0.164
2015,19,39,C82,2,15_24,1,92117,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.085575952321504,0.185
