ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2001,19,26,C62,1,>65,1,12132,331935,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,8.242664029014177,0.577
2002,19,39,C62,1,>65,2,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.726759047490919,0.471
2004,19,39,C62,1,>65,1,31919,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.1329302296437858,0.219
2005,19,39,C62,1,>65,1,32928,523442,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.0369290573372205,0.213
2006,19,46,C62,1,>65,1,11798,251128,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.476012883539582,0.593
2009,19,39,C62,1,>65,1,36793,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.7179082977740334,0.19
2010,19,39,C62,1,>65,1,37726,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.6506918305677782,0.186
2012,19,39,C62,1,>65,4,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,10.05404046751288,0.704
2013,19,39,C62,1,>65,3,40950,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,7.326007326007326,0.513
2016,19,2,C62,1,>65,1,255,1414,Nuevo Le�n,Agualeguas,26.2987120646621,-99.7030827780617,392.156862745098,27.451
2016,19,39,C62,1,>65,2,44884,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.455930843953302,0.312
2016,19,46,C62,1,>65,1,17714,235142,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.645252342779722,0.395
2017,19,39,C62,1,>65,1,46624,540331,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.144818119423473,0.15
2019,19,39,C62,1,>65,1,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9794924581337343,0.139
2020,19,39,C62,1,>65,1,52692,551689,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.897821301146284,0.133
