ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2003,19,39,C69,2,>65,1,42005,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3806689679800024,0.167
2005,19,6,C69,2,>65,1,4802,195419,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,20.824656393169512,1.458
2007,19,33,C69,1,>65,1,2998,37970,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,33.355570380253496,2.335
2008,19,7,C69,1,>65,1,977,8259,Nuevo Le�n,Aramberri,24.2251177018871,-99.8865089274877,102.35414534288638,7.165
2009,19,39,C69,1,>65,1,36793,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.7179082977740334,0.19
2013,19,26,C69,2,>65,1,24692,338463,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.049894702737729,0.283
2014,19,6,C69,2,>65,1,8501,286861,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,11.763321962122104,0.823
2014,19,18,C69,2,>65,1,2463,113814,Nuevo Le�n,García,25.8090105604871,-100.659776922245,40.60089321965084,2.842
2014,19,33,C69,2,>65,1,3909,41585,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,25.58199027884369,1.791
2014,19,39,C69,1,>65,1,42171,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3712978112921204,0.166
2015,19,46,C69,1,>65,1,17013,236198,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.877858108505261,0.411
2018,19,39,C69,2,>65,1,65550,563358,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.5255530129672006,0.107
2019,19,39,C69,1,>65,2,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.958984916267469,0.277
2006,19,39,C69,2,45_64,1,101066,539666,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9894524370213524,0.188
2009,19,39,C69,2,45_64,1,108037,540198,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9256088192008292,0.176
2010,19,39,C69,1,45_64,1,99306,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.006988500191328,0.191
2016,19,39,C69,1,45_64,1,115010,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8694896095991653,0.165
2018,19,39,C69,2,45_64,1,134869,563358,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.7414602317804685,0.141
2019,19,18,C69,2,45_64,1,14214,144760,Nuevo Le�n,García,25.8090105604871,-100.659776922245,7.035317292809905,1.337
2010,19,46,C69,2,25_44,1,74202,246295,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.347672569472521,0.35
2012,19,39,C69,2,25_44,1,159931,544639,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6252696475354997,0.163
2013,19,39,C69,1,25_44,1,158919,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6292513796336499,0.164
2017,19,6,C69,2,25_44,1,109374,311512,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,0.9142940735458154,0.238
2019,19,48,C69,1,25_44,1,49670,160236,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,2.01328769881216,0.523
2020,19,39,C69,1,25_44,1,162533,551689,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6152596703438686,0.16
2020,19,46,C69,2,25_44,1,60220,240750,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.6605778811026235,0.432
2008,19,39,C69,2,15_24,1,96121,539831,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0403553853996526,0.177
2014,19,46,C69,1,15_24,1,47227,237228,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,2.1174328244436444,0.36
2015,19,39,C69,1,15_24,1,98186,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0184751390218565,0.173
2002,19,39,C69,2,05_14,1,91990,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0870746820306556,0.207
2005,19,6,C69,2,05_14,1,43497,195419,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,2.2990091270662347,0.437
2006,19,39,C69,2,05_14,1,87860,539666,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.1381743683132255,0.216
2007,19,39,C69,1,05_14,1,88809,522061,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.126012003287955,0.214
2009,19,39,C69,2,05_14,1,84062,540198,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.1895981537436655,0.226
2012,19,39,C69,2,05_14,2,81471,544639,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.4548612389684674,0.466
2015,19,39,C69,2,05_14,1,80121,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.2481122302517442,0.237
2017,19,39,C69,2,05_14,2,78575,559606,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.545338848234171,0.484
2000,19,39,C69,1,00_04,1,49543,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.018448620390368,0.242
2001,19,39,C69,1,00_04,1,49105,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0364524997454434,0.244
2001,19,39,C69,2,00_04,1,47449,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.107525975257645,0.253
2002,19,39,C69,1,00_04,1,48509,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0614731286977674,0.247
2003,19,39,C69,2,00_04,1,46647,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.143760584817888,0.257
2003,19,39,C69,1,00_04,1,48059,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.080775713185876,0.25
2004,19,39,C69,2,00_04,1,46280,539861,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.16076058772688,0.259
2005,19,39,C69,1,00_04,1,47323,523442,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.1131373750607527,0.254
