ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2002,19,39,C68,1,>65,1,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.36337952374546,0.235
2003,19,6,C68,2,>65,1,4084,174310,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,24.48579823702253,1.714
2003,19,39,C68,1,>65,1,30874,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.2389713027142584,0.227
2005,19,19,C68,2,>65,1,4948,68993,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,20.21018593371059,1.415
2008,19,38,C68,1,>65,1,2361,29333,Nuevo Le�n,Montemorelos,25.1263054213928,-99.8083805429705,42.35493434985175,2.965
2011,19,39,C68,1,>65,1,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.58384579608289,0.181
2012,19,39,C68,2,>65,1,53795,544639,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.8589088205223536,0.13
2013,19,46,C68,1,>65,1,15759,238348,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.345580303318739,0.444
2017,19,19,C68,2,>65,1,7857,71132,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,12.727504136438844,0.891
2017,19,46,C68,1,>65,1,18510,234130,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.4024851431658565,0.378
2018,19,14,C68,1,>65,1,2603,18754,Nuevo Le�n,Doctor Arroyo,23.8601083825303,-100.306266485606,38.4172109104879,2.689
2018,19,39,C68,1,>65,1,48498,543459,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0619406985855084,0.144
2018,19,39,C68,2,>65,2,65550,563358,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.051106025934401,0.214
2019,19,6,C68,2,>65,1,11027,324505,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,9.068649678062936,0.635
2019,19,37,C68,1,>65,1,263,2993,Nuevo Le�n,Mina,26.2855835676271,-100.786276737091,380.22813688212926,26.616
2019,19,39,C68,1,>65,1,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9794924581337343,0.139
2019,19,39,C68,2,>65,1,68240,567841,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.4654161781946071,0.103
2020,19,19,C68,2,>65,2,8943,72612,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,22.363860002236382,1.565
2020,19,39,C68,1,>65,2,52692,551689,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.795642602292568,0.266
2009,19,26,C68,1,45_64,1,63322,344428,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,1.5792299674678627,0.3
2013,19,39,C68,2,45_64,0,118442,547362,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.0,0.0
2016,19,39,C68,1,45_64,1,115010,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8694896095991653,0.165
2016,19,48,C68,1,45_64,1,29057,154743,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,3.441511511856007,0.654
2017,19,39,C68,2,45_64,2,131296,559606,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.523275651961979,0.289
2019,19,39,C68,1,45_64,2,124133,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.611175110566892,0.306
2017,19,18,C68,2,25_44,1,49222,133685,Nuevo Le�n,García,25.8090105604871,-100.659776922245,2.03161188086628,0.528
