ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,26,C14,1,>65,1,11352,328424,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,8.809020436927414,0.617
2000,19,46,C14,1,>65,1,8389,257983,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,11.920371915603766,0.834
2001,19,18,C14,2,>65,1,1791,31293,Nuevo Le�n,García,25.8090105604871,-100.659776922245,55.83472920156337,3.908
2001,19,39,C14,1,>65,2,28376,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,7.048209754722301,0.493
2002,19,33,C14,2,>65,1,2709,36633,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,36.913990402362494,2.584
2002,19,39,C14,2,>65,1,40563,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.465300889973621,0.173
2002,19,46,C14,1,>65,1,9579,257273,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,10.439503079653408,0.731
2003,19,19,C14,2,>65,1,4547,68967,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,21.992522542335607,1.539
2004,19,17,C14,1,>65,1,1944,21605,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,51.440329218107,3.601
2004,19,39,C14,1,>65,2,31919,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.265860459287572,0.439
2006,19,39,C14,1,>65,1,33910,522810,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.948982601002654,0.206
2007,19,39,C14,2,>65,1,47005,539598,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.127433251781725,0.149
2007,19,44,C14,1,>65,1,1415,17408,Nuevo Le�n,Sabinas Hidalgo,26.575102311386,-100.149288250141,70.67137809187278,4.947
2009,19,33,C14,2,>65,1,3394,39206,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,29.463759575721863,2.062
2009,19,39,C14,1,>65,1,36793,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.7179082977740334,0.19
2009,19,46,C14,1,>65,1,13461,244634,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.428868583314761,0.52
2010,19,26,C14,2,>65,1,21929,333444,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.560171462446989,0.319
2010,19,34,C14,1,>65,1,161,2900,Nuevo Le�n,Marín,25.8745179994647,-99.9646183466771,621.1180124223602,43.478
2010,19,39,C14,1,>65,1,37726,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.6506918305677782,0.186
2011,19,39,C14,1,>65,1,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.58384579608289,0.181
2012,19,39,C14,1,>65,1,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.51351011687822,0.176
2012,19,39,C14,2,>65,1,53795,544639,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.8589088205223536,0.13
2012,19,42,C14,1,>65,1,464,2810,Nuevo Le�n,Los Ramones,25.6533100409676,-99.5876669942503,215.51724137931035,15.086
2012,19,50,C14,1,>65,1,159,1032,Nuevo Le�n,Vallecillo,26.6481060108133,-99.8847627105149,628.930817610063,44.025
2013,19,29,C14,1,>65,1,462,3598,Nuevo Le�n,Hualahuises,24.8837908654693,-99.6780960592105,216.4502164502165,15.152
2013,19,39,C14,1,>65,1,40950,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.442002442002442,0.171
2014,19,15,C14,1,>65,1,176,917,Nuevo Le�n,Doctor Coss,25.964091084265,-99.0308734113713,568.1818181818182,39.773
2014,19,30,C14,1,>65,1,236,1959,Nuevo Le�n,Iturbide,24.6384176882001,-99.848715639894,423.728813559322,29.661
2014,19,39,C14,1,>65,1,42171,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3712978112921204,0.166
2014,19,46,C14,1,>65,1,16387,237228,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.102398242509306,0.427
2015,19,39,C14,1,>65,2,43419,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.606278357401138,0.322
2015,19,46,C14,1,>65,2,17013,236198,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,11.75571621701052,0.823
2016,19,6,C14,2,>65,1,9422,304216,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,10.613457864572275,0.743
2016,19,26,C14,1,>65,2,23682,354379,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,8.445232666159953,0.591
2016,19,31,C14,1,>65,1,3761,174814,Nuevo Le�n,Juárez,25.6140901423753,-100.121479853684,26.588673225206065,1.861
2016,19,39,C14,2,>65,2,60792,556547,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.2899065666535074,0.23
2017,19,39,C14,1,>65,2,46624,540331,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.289636238846946,0.3
2018,19,38,C14,1,>65,1,3218,33086,Nuevo Le�n,Montemorelos,25.1263054213928,-99.8083805429705,31.075201988812925,2.175
2018,19,39,C14,1,>65,2,48498,543459,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.123881397171017,0.289
2018,19,39,C14,2,>65,1,65550,563358,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.5255530129672006,0.107
2019,19,39,C14,1,>65,1,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9794924581337343,0.139
2019,19,48,C14,1,>65,1,8123,160236,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,12.310722639418936,0.862
2020,19,17,C14,1,>65,1,3130,22746,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,31.94888178913738,2.236
2020,19,19,C14,1,>65,1,7265,65002,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,13.764624913971096,0.964
2020,19,22,C14,1,>65,1,1358,8117,Nuevo Le�n,General Terán,25.275873969293,-99.4130166042144,73.63770250368188,5.155
2020,19,33,C14,1,>65,1,4705,44282,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,21.253985122210416,1.488
2020,19,46,C14,1,>65,1,21142,233413,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.729921483303377,0.331
2000,19,13,C14,2,45_64,1,997,5955,Nuevo Le�n,China,25.4801587737197,-98.9724091747485,100.30090270812435,19.057
2000,19,17,C14,1,45_64,1,3402,21840,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,29.394473838918284,5.585
2001,19,39,C14,2,45_64,1,91098,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0977189400425915,0.209
2004,19,39,C14,1,45_64,2,86680,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.307337332718044,0.438
2005,19,13,C14,1,45_64,1,1154,6114,Nuevo Le�n,China,25.4801587737197,-98.9724091747485,86.65511265164645,16.464
2005,19,17,C14,1,45_64,1,3529,21546,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,28.33663927458204,5.384
2005,19,39,C14,2,45_64,1,99000,539771,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0101010101010102,0.192
2007,19,39,C14,1,45_64,1,92638,522061,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0794706276042227,0.205
2008,19,6,C14,1,45_64,1,26323,229843,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,3.798959085210652,0.722
2009,19,21,C14,1,45_64,1,22657,174246,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,4.41364699651322,0.839
2009,19,39,C14,1,45_64,1,97144,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0293996541217163,0.196
2009,19,48,C14,1,45_64,1,21283,137473,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,4.6985857256965655,0.893
2010,19,45,C14,2,45_64,1,2888,20378,Nuevo Le�n,Salinas Victoria,26.161071400894,-100.270382779814,34.62603878116344,6.579
2011,19,39,C14,2,45_64,1,112882,542076,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8858808313105722,0.168
2011,19,46,C14,2,45_64,1,57117,244900,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.750792233485652,0.333
2013,19,26,C14,1,45_64,1,72669,349843,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,1.376102602210021,0.261
2013,19,39,C14,1,45_64,1,106641,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9377256402321807,0.178
2014,19,39,C14,1,45_64,1,109333,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9146369348687038,0.174
2015,19,39,C14,1,45_64,1,112112,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8919651776794634,0.169
2016,19,13,C14,1,45_64,1,1349,5982,Nuevo Le�n,China,25.4801587737197,-98.9724091747485,74.12898443291327,14.085
2016,19,39,C14,1,45_64,2,115010,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7389792191983309,0.33
2017,19,31,C14,1,45_64,1,21512,182032,Nuevo Le�n,Juárez,25.6140901423753,-100.121479853684,4.648568240981778,0.883
2017,19,33,C14,1,45_64,1,8265,42787,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,12.099213551119178,2.299
2020,19,9,C14,1,45_64,1,11361,53890,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,8.802042073761111,1.672
2020,19,26,C14,1,45_64,1,89790,360152,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,1.1137097672346588,0.212
2002,19,22,C14,1,25_44,1,2126,8236,Nuevo Le�n,General Terán,25.275873969293,-99.4130166042144,47.03668861712136,12.23
2010,19,39,C14,2,25_44,1,160522,540585,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6229675683083938,0.162
2018,19,39,C14,1,25_44,1,160726,543459,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6221768724412976,0.162
2020,19,18,C14,1,25_44,1,58636,151182,Nuevo Le�n,García,25.8090105604871,-100.659776922245,1.70543693294222,0.443
2009,19,6,C14,1,15_24,1,41113,240125,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,2.4323206771580765,0.413
2014,19,39,C14,2,00_04,1,39334,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.542329791020491,0.305
