ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,39,C75,2,>65,2,37217,536485,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.373888276862724,0.376
2000,19,46,C75,1,>65,1,8389,257983,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,11.920371915603766,0.834
2001,19,39,C75,1,>65,1,28376,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.5241048773611503,0.247
2011,19,39,C75,2,>65,1,52278,542076,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9128505298595968,0.134
2012,19,46,C75,2,>65,1,19330,243906,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.173305742369374,0.362
2015,19,39,C75,1,>65,1,43419,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.303139178700569,0.161
2018,19,33,C75,1,>65,1,4320,43269,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,23.14814814814815,1.62
2019,19,39,C75,1,>65,1,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9794924581337343,0.139
2020,19,26,C75,1,>65,1,28239,360152,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,3.5412018839194026,0.248
2001,19,39,C75,1,45_64,1,81182,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.231800152743219,0.234
2002,19,48,C75,1,45_64,1,14250,120336,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,7.017543859649122,1.333
2008,19,39,C75,1,45_64,1,94862,521846,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0541628892496469,0.2
2009,19,46,C75,2,45_64,1,53346,248088,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,1.8745547932366065,0.356
2010,19,39,C75,2,45_64,1,110391,540585,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9058709496245164,0.172
2012,19,39,C75,1,45_64,1,104050,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9610764055742432,0.183
2014,19,39,C75,1,45_64,1,109333,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.9146369348687038,0.174
2014,19,39,C75,2,45_64,1,121423,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.8235671989655996,0.156
2001,19,39,C75,2,25_44,1,162138,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6167585636926568,0.16
2002,19,39,C75,2,25_44,1,162319,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6160708235018698,0.16
2002,19,39,C75,1,25_44,1,161584,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6188731557579958,0.161
2004,19,39,C75,2,25_44,1,162029,539861,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6171734689469169,0.16
2008,19,39,C75,2,25_44,1,161081,539831,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6208056816135981,0.161
2015,19,39,C75,1,25_44,1,159369,535042,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.627474602965445,0.163
2019,19,39,C75,1,25_44,1,161518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6191260416795651,0.161
2020,19,24,C75,2,25_44,1,685,3189,Nuevo Le�n,General Zaragoza,23.901029043406,-99.7401735171412,145.98540145985402,37.956
2009,19,39,C75,1,15_24,1,98658,522038,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.013602546169596,0.172
2010,19,39,C75,1,15_24,1,98243,522396,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0178842258481522,0.173
