ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2011,19,39,C63,1,>65,2,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.16769159216578,0.362
2012,19,26,C63,1,>65,2,20307,348199,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,9.848820603732705,0.689
2012,19,39,C63,1,>65,1,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.51351011687822,0.176
2013,19,39,C63,1,>65,1,40950,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.442002442002442,0.171
2003,19,17,C63,1,45_64,1,3476,21671,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,28.7686996547756,5.466
2019,19,39,C63,1,25_44,1,161518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,0.6191260416795651,0.161
